Ticker,Company Name,Sector,Buffett Score,ROIC,Current Price,ROE,Debt to Equity,Years to Pay Off Debt,EPS CAGR (Historical),FCF CAGR (Historical),Latest FCF,Shares Outstanding,Market Cap,Gross Margin,Net Margin,Industry,Edgar Fetched
GLW,Corning Incorporated,Technology,1,0.10056750501447918,175.88999938964844,0.13517404929279242,0.7941898873549589,5.87531328320802,0.06227999466921208,0.11805628879104058,1413000000.0,859014837,151092117504,0.35984,0.10212,Electronic Components,True
KVUE,Kenvue Inc.,Consumer Defensive,1,0.09719802492528846,17.489999771118164,0.13655364607524384,0.8057594054807246,5.900680272108843,-0.11398056842686899,-0.07132255956198219,1722000000.0,1919916307,33579335680,0.58370996,0.097200006,Household & Personal Products,True
HII,"Huntington Ingalls Industries, ",Industrials,1,0.09509232300702807,359.2900085449219,0.1192588212103292,0.57618766016164,4.831404958677686,0.02146574918873223,0.18102154775842583,794000000.0,39377171,14147824640,0.12696,0.048460003,Aerospace & Defense,True
HAL,Halliburton Company,Energy,1,0.09425480958227243,40.36000061035156,0.12264601854507218,0.7774591339260108,6.339049103663289,-0.04826946434467272,0.10745496208361094,1672000000.0,835157457,33706954752,0.15296,0.06947,Oil & Gas Equipment & Services,True
BA,Boeing Company (The),Industrials,1,0.09376359895892004,232.44000244140625,0.4097909790979098,9.98038137147048,24.354809843400446,0.0,,-1886000000.0,788302331,183233003520,0.048249997,0.024600001,Aerospace & Defense,True
CAG,"ConAgra Brands, Inc.",Consumer Defensive,1,0.0927433663465256,14.170000076293945,0.1290091461708106,0.9031535817837831,7.000694203401597,0.09214869554856042,0.22253364402482423,1302600000.0,478437156,6779454464,0.24274999,-0.00387,Packaged Foods,True
CARR,Carrier Global Corporation,Industrials,1,0.07874900926549605,60.970001220703125,0.1075050709939148,0.8874963778614894,8.255390835579515,-0.2539320075489707,0.1414942136093542,2121000000.0,835433325,50936373248,0.26054,0.06824,Building Products & Equipment,True
CPB,The Campbell's Company,Consumer Defensive,1,0.07856127871696429,20.6200008392334,0.15427985648385442,1.8482829318298308,11.980066445182723,-0.06983666625879881,-0.09111729039277427,705000000.0,298146488,6147781120,0.29610002,0.0548,Packaged Foods,True
EMR,Emerson Electric Company,Industrials,1,0.07791333678892766,141.35000610351562,0.1130559116457943,0.6783847746770535,6.000436109899694,-0.09315839749010013,0.0055605844145771854,2667000000.0,562000000,79438700544,0.52757,0.12718001,Specialty Industrial Machinery,True
KKR,KKR & Co. Inc.,Financial Services,1,0.0738162302834744,101.83000183105469,0.07670765539464512,1.7648335036050895,23.007266934771813,0.0,0.0,316995000.0,891550894,94306746368,0.56959,0.09241,Asset Management,True
L,Loews Corporation,Financial Services,1,0.07372750251802311,110.58000183105469,0.08921117414106818,0.5078133361875201,5.692261547690462,0.3302534615749939,0.0057443817476718895,2700000000.0,205767698,22753792000,0.36501998,0.09033,Insurance - Property & Casualty,True
FTV,Fortive Corporation,Technology,1,0.06806638225231956,61.09000015258789,0.08975113893451514,0.5123810704434871,5.7089088397790055,-0.06372276815022981,-0.03553643307279486,1083200000.0,307859190,18807117824,0.63502,0.13926,Scientific & Technical Instruments,True
J,Jacobs Solutions Inc.,Industrials,1,0.06772296247548124,126.5999984741211,0.07947029326190594,0.7443011947625897,9.365778886830537,-0.21863601130970045,0.20510915631640092,607472000.0,117446713,14868753408,0.24445999,0.03495,Engineering & Construction,True
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,1,0.06552604931122961,29.219999313354492,0.0814782881329362,0.6325834770340178,7.763828763828764,-0.1132100571459882,-0.15405846126264522,1488000000.0,1360559471,39755546624,0.53777003,0.10812,Beverages - Non-Alcoholic,True
AEE,Ameren Corporation,Utilities,1,0.06510079145571605,111.12000274658203,0.0,1.4797403178867248,inf,0.08950605534630207,0.0,-821000000.0,276653219,30741706752,0.49244,0.1719,Utilities - Regulated Electric,True
CPT,Camden Property Trust,Real Estate,1,0.06395892545907918,101.75,0.0881283605840015,0.8941591826564582,10.146100264785597,-0.16451589804509836,0.09361899288980813,386219000.0,104726511,10655922176,0.61731,0.24229,REIT - Residential,True
AVB,"AvalonBay Communities, Inc.",Real Estate,1,0.062251974056612286,172.3800048828125,0.09054088503135728,0.8176275950923838,9.030479377457075,0.01910419380321038,0.04079066292860056,1406163000.0,139111236,23979995136,0.63141996,0.34569,REIT - Residential,True
ES,Eversource Energy (D/B/A),Utilities,1,0.061477009722752655,68.63999938964844,0.10448500861657498,1.8592575255424202,17.794490809349245,0.04032716713858986,0.0,-45097000.0,375845345,25798023168,0.53622,0.124919996,Utilities - Regulated Electric,True
CIEN,Ciena Corporation,Technology,1,0.05999401644477198,520.7999877929688,0.04518996102696529,0.5955887229177346,13.179668877393828,-0.04852081270857467,0.0,665292000.0,141398427,73640304640,0.42125,0.044699997,Communication Equipment,True
AWK,"American Water Works Company, I",Utilities,1,0.059702734013231694,132.4199981689453,0.10251914736550706,1.468856694657193,14.327632763276327,0.0805509301100904,0.0,-1242000000.0,195280114,25858992128,0.6072,0.21615,Utilities - Regulated Water,True
ED,"Consolidated Edison, Inc.",Utilities,1,0.058571904292533665,109.05999755859375,0.08362959900785448,1.1730467135179827,14.026693030153238,0.06542657701264254,0.0,36000000.0,368421246,40180019200,0.53251,0.11958,Utilities - Regulated Electric,True
CMS,CMS Energy Corporation,Utilities,1,0.058459143169997264,76.2699966430664,0.1171259842519685,2.0667104111986,17.645191409897294,0.06843865593176002,0.0,-1803000000.0,307996655,23490902016,0.41527,0.12542,Utilities - Regulated Electric,True
KMI,"Kinder Morgan, Inc.",Energy,1,0.058275758598608514,31.739999771118164,0.0980681599383865,1.0198960272126307,10.399869109947645,0.0694673115572082,-0.04755321900193199,2891000000.0,2224818888,70615752704,0.49446,0.18917,Oil & Gas Midstream,True
